pitch_m,head_radius_m,gap_m,best_pair_i,best_pair_j
0.45033569335937507,7.205371093750001,5.636157512589308,0,21
0.45033569335937507,7.156182528409092,5.53315174450481,0,21
0.45033569335937507,7.106993963068183,5.422555873960158,0,21
0.45033569335937507,7.0578053977272734,5.304290451894255,0,21
0.45033569335937507,7.008616832386364,5.178284347090841,0,21
0.45033569335937507,6.959428267045456,5.044475558260793,0,21
0.45033569335937507,6.910239701704547,4.902812072992201,0,21
0.45033569335937507,6.8610511363636375,4.753252775021673,0,21
0.45033569335937507,6.811862571022728,4.595768401198342,0,21
0.45033569335937507,6.762674005681819,4.430342549379688,0,21
0.45033569335937507,6.71348544034091,4.256972738361622,0,21
0.45033569335937507,6.664296875000001,4.075671520755766,0,21
0.45033569335937507,6.6151083096590915,3.8864676495147195,0,21
0.45033569335937507,6.565919744318182,3.6894072985464654,0,21
0.45033569335937507,6.516731178977274,3.484555337551414,0,21
0.45033569335937507,6.467542613636365,3.2719966608622615,0,21
0.45033569335937507,6.4183540482954555,3.051837569652277,0,21
0.45033569335937507,6.369165482954546,2.8242072063928534,0,21
0.45033569335937507,6.319976917613637,2.5892590399013935,0,21
0.45033569335937507,6.270788352272728,2.347172398681031,0,21
0.45033569335937507,6.221599786931819,2.0981540495439983,0,21
0.45033569335937507,6.1724112215909095,1.842439817700623,0,21
0.45033569335937507,6.12322265625,1.580296243566889,0,21
0.45033569335937507,6.074034090909091,1.3120222705268887,0,21
0.45033569335937507,6.024845525568182,1.037950956712442,0,21
0.45033569335937507,5.9756569602272736,0.758451202585287,0,21
0.45033569335937507,5.926468394886364,0.4739294846379074,0,21
0.45033569335937507,5.877279829545455,0.18483158395607502,0,21
0.45033569335937507,5.828091264204546,0.10110944009165829,0,21
0.45033569335937507,5.778902698863637,0.061530166004293396,0,21
0.45033569335937507,5.7297141335227275,0.036341336187876744,0,21
0.45033569335937507,5.680525568181819,0.025929828253996506,0,21
0.45033569335937507,5.63133700284091,0.03065788406139691,0,21
0.45033569335937507,5.582148437500001,0.05085911174867308,0,21
0.45033569335937507,5.532959872159092,0.06938542798555794,0,20
0.45033569335937507,5.483771306818182,0.038192293679943284,0,20
0.45033569335937507,5.434582741477273,0.022282454892382397,0,20
