,-100 s,-99 s,-98 s,-97 s,-96 s,-95 s,-94 s,-93 s,-92 s,-91 s,-90 s,-89 s,-88 s,-87 s,-86 s,-85 s,-84 s,-83 s,-82 s,-81 s,-80 s,-79 s,-78 s,-77 s,-76 s,-75 s,-74 s,-73 s,-72 s,-71 s,-70 s,-69 s,-68 s,-67 s,-66 s,-65 s,-64 s,-63 s,-62 s,-61 s,-60 s,-59 s,-58 s,-57 s,-56 s,-55 s,-54 s,-53 s,-52 s,-51 s,-50 s,-49 s,-48 s,-47 s,-46 s,-45 s,-44 s,-43 s,-42 s,-41 s,-40 s,-39 s,-38 s,-37 s,-36 s,-35 s,-34 s,-33 s,-32 s,-31 s,-30 s,-29 s,-28 s,-27 s,-26 s,-25 s,-24 s,-23 s,-22 s,-21 s,-20 s,-19 s,-18 s,-17 s,-16 s,-15 s,-14 s,-13 s,-12 s,-11 s,-10 s,-9 s,-8 s,-7 s,-6 s,-5 s,-4 s,-3 s,-2 s,-1 s,0 s,1 s,2 s,3 s,4 s,5 s,6 s,7 s,8 s,9 s,10 s,11 s,12 s,13 s,14 s,15 s,16 s,17 s,18 s,19 s,20 s,21 s,22 s,23 s,24 s,25 s,26 s,27 s,28 s,29 s,30 s,31 s,32 s,33 s,34 s,35 s,36 s,37 s,38 s,39 s,40 s,41 s,42 s,43 s,44 s,45 s,46 s,47 s,48 s,49 s,50 s,51 s,52 s,53 s,54 s,55 s,56 s,57 s,58 s,59 s,60 s,61 s,62 s,63 s,64 s,65 s,66 s,67 s,68 s,69 s,70 s,71 s,72 s,73 s,74 s,75 s,76 s,77 s,78 s,79 s,80 s,81 s,82 s,83 s,84 s,85 s,86 s,87 s,88 s,89 s,90 s,91 s,92 s,93 s,94 s,95 s,96 s,97 s,98 s,99 s,100 s
第41节龙身x (m),2.334391,3.290058,4.21384,5.097322,5.932396,6.711331,7.426858,8.072236,8.64132,9.128631,9.529413,9.839685,10.056291,10.176939,10.200235,10.125706,9.953819,9.685988,9.324571,8.872862,8.335068,7.716282,7.022443,6.260288,5.437296,4.561622,3.642022,2.687772,1.708585,0.714507,-0.284172,-1.277033,-2.253625,-3.203583,-4.116735,-4.983217,-5.79358,-6.538899,-7.21088,-7.801958,-8.305393,-8.715353,-9.026996,-9.23654,-9.341317,-9.339824,-9.231759,-9.018039,-8.70081,-8.283444,-7.770513,-7.167761,-6.482047,-5.721288,-4.894376,-4.011089,-3.081986,-2.11829,-1.131759,-0.134553,0.860913,1.842123,2.796615,3.712138,4.576818,5.379315,6.10898,6.756007,7.311576,7.767992,8.118802,8.358909,8.484663,8.49394,8.386197,8.162508,7.825583,7.379756,6.830956,6.186654,5.455781,4.64863,3.776729,2.852695,1.890071,0.903136,-0.093293,-1.084077,-2.05398,-2.987907,-3.87114,-4.689577,-5.429971,-6.080162,-6.629293,-7.068019,-7.388688,-7.585511,-7.654697,-7.594558,-7.405591,-7.096432,-6.67831,-6.144713,-5.50049,-4.761206,-3.944067,-3.0566,-2.120771,-1.150162,-0.092296,0.739588,1.323657,1.976474,2.941029,4.155559,5.016738,5.61208,6.131126,6.487356,6.717717,6.805033,6.747929,6.533475,6.192369,5.7126,5.084002,4.39765,3.546479,2.666658,1.725111,0.703168,-0.247038,-1.271239,-2.206494,-3.077178,-3.906893,-4.566663,-5.155382,-5.577038,-5.843036,-5.954866,-5.898271,-5.666096,-5.276653,-4.752462,-4.046457,-3.287371,-2.376977,-1.41495,-0.454785,0.58741,1.517899,2.445895,3.273292,3.944233,4.517742,4.882847,5.081875,5.08147,4.895178,4.492485,3.94689,3.225607,2.358341,1.461605,0.426813,-0.545744,-1.505222,-2.406288,-3.108612,-3.610547,-3.765352,-3.593253,-3.080592,-2.363293,-1.393325,-0.401526,0.547997,1.485101,2.493119,3.152982,3.136903,2.487846,1.624744,0.671677,-0.325272,-1.319729,-2.267128,-3.126551,-3.862268,-4.444936,-4.852443,-5.070396,-5.09228,-4.919294,-4.559913,-4.029215,-3.348014,-2.541847,-1.639866
第41节龙身y (m),10.303587,10.0124,9.632007,9.165626,8.617276,7.991757,7.294609,6.532071,5.711037,4.838992,3.923958,2.97442,1.999252,1.007642,0.009002,-0.987115,-1.971103,-2.933403,-3.864589,-4.755467,-5.597165,-6.38123,-7.09971,-7.745249,-8.311161,-8.791513,-9.181192,-9.475971,-9.67256,-9.768659,-9.762992,-9.655336,-9.446537,-9.138519,-8.734274,-8.237852,-7.654325,-6.989755,-6.251136,-5.446336,-4.584018,-3.673561,-2.724965,-1.748744,-0.755822,0.242589,1.235113,2.210335,3.156936,4.063822,4.920262,5.716016,6.441467,7.087743,7.646839,8.111724,8.476445,8.736216,8.887499,8.928063,8.857041,8.674956,8.383746,7.986755,7.488722,6.895739,6.215195,5.455706,4.627018,3.739901,2.806021,1.837799,0.848258,-0.149148,-1.140707,-2.112639,-3.051285,-3.943302,-4.77586,-5.536833,-6.21499,-6.800174,-7.283472,-7.657371,-7.915897,-8.054737,-8.071334,-7.964964,-7.736784,-7.389852,-6.929118,-6.361386,-5.695243,-4.94096,-4.110363,-3.216667,-2.274298,-1.298668,-0.30595,0.687188,1.663855,2.592699,3.458511,4.275018,5.024257,5.682753,6.234856,6.6746,6.990063,7.176414,7.227865,7.159046,7.051641,6.870575,6.472782,5.700731,4.894987,4.136589,3.23297,2.330677,1.36028,0.33856,-0.611258,-1.630402,-2.543892,-3.412617,-4.227941,-4.885576,-5.483402,-5.916374,-6.213233,-6.366048,-6.359699,-6.191038,-5.877288,-5.42316,-4.801536,-4.116997,-3.265882,-2.367135,-1.427229,-0.393508,0.557087,1.561241,2.481572,3.299914,4.066618,4.646239,5.117564,5.412285,5.528533,5.464546,5.232914,4.8118,4.227671,3.536881,2.662819,1.771151,0.778191,-0.240954,-1.182124,-2.147454,-2.948164,-3.64972,-4.196229,-4.529471,-4.680185,-4.61094,-4.330338,-3.830063,-3.180986,-2.258075,-1.284502,-0.303097,0.604098,1.236323,1.632206,1.678235,1.400129,0.966775,1.150402,1.948296,2.991923,3.770362,4.278715,4.58674,4.682481,4.564186,4.239768,3.725878,3.04669,2.232463,1.317966,0.340845,-0.660003,-1.645987,-2.580251,-3.428947,-4.162305,-4.755492,-5.189241
第42节龙身x (m),0.708263,1.697599,2.669409,3.614952,4.525658,5.393211,6.209627,6.967326,7.659215,8.278753,8.820021,9.277783,9.647548,9.925616,10.109127,10.196098,10.185451,10.077041,9.87166,9.571053,9.177902,8.695821,8.129328,7.483815,6.765502,5.981391,5.139201,4.247304,3.314646,2.350664,1.365196,0.368382,-0.62943,-1.6178,-2.586295,-3.524606,-4.422656,-5.270712,-6.059498,-6.780295,-7.425053,-7.986483,-8.45815,-8.834558,-9.111226,-9.28475,-9.352864,-9.314477,-9.169705,-8.919893,-8.56761,-8.116648,-7.571986,-6.939761,-6.227205,-5.44258,-4.595094,-3.694805,-2.752514,-1.779642,-0.788101,0.209849,1.201743,2.175066,3.117415,4.016653,4.861076,5.639566,6.341753,6.958156,7.480331,7.901001,8.214171,8.415233,8.501059,8.470064,8.322259,8.059281,7.684401,7.202506,6.62006,5.945045,5.18687,4.356264,3.465142,2.526455,1.554014,0.5623,-0.433741,-1.418919,-2.378027,-3.296081,-4.158555,-4.951623,-5.662393,-6.279137,-6.791501,-7.190706,-7.469729,-7.623455,-7.648806,-7.547475,-7.327082,-6.984196,-6.519595,-5.943237,-5.268308,-4.50065,-3.658818,-2.754725,-1.735693,-0.90986,-0.316684,0.3602,1.390203,2.749999,3.77469,4.530644,5.247321,5.806488,6.260612,6.589324,6.761929,6.799918,6.690915,6.437932,6.029029,5.526616,4.85095,4.107556,3.27117,2.321381,1.401036,0.367907,-0.616623,-1.575441,-2.538994,-3.355927,-4.149531,-4.796221,-5.305581,-5.693741,-5.899179,-5.952555,-5.833868,-5.559486,-5.098267,-4.5352,-3.797994,-2.962145,-2.077512,-1.062558,-0.105291,0.906075,1.871041,2.720311,3.534519,4.158081,4.657932,4.979793,5.103829,5.034164,4.779517,4.329764,3.694234,2.96229,2.04091,1.104253,0.107309,-0.912245,-1.805304,-2.678285,-3.323636,-3.695575,-3.739101,-3.463666,-2.848871,-2.030841,-1.077599,-0.034064,0.845292,1.839787,2.79118,3.231015,2.96382,2.201376,1.301925,0.328324,-0.67299,-1.65604,-2.577328,-3.397578,-4.083157,-4.607151,-4.950089,-5.100312,-5.054016,-4.814989,-4.394087,-3.808489,-3.08077
第42节龙身y (m),10.583247,10.444342,10.212725,9.890248,9.479593,8.984259,8.408542,7.7575,7.036921,6.253279,5.413677,4.525795,3.597823,2.638389,1.656484,0.661383,-0.337442,-1.330412,-2.307928,-3.260465,-4.178669,-5.053448,-5.876066,-6.638234,-7.332198,-7.950825,-8.487685,-8.93712,-9.294319,-9.555374,-9.717334,-9.778252,-9.737212,-9.594362,-9.350921,-9.009184,-8.572513,-8.045313,-7.433007,-6.741984,-5.979547,-5.153848,-4.273807,-3.349029,-2.389701,-1.406492,-0.410437,0.587182,1.574963,2.541511,3.47557,4.366159,5.202705,5.975169,6.67418,7.291154,7.818413,8.249288,8.578222,8.800853,8.914088,8.916164,8.806691,8.586679,8.258553,7.826142,7.294655,6.670639,5.961912,5.177491,4.327486,3.422987,2.475935,1.498974,0.50529,-0.491557,-1.477813,-2.439725,-3.363722,-4.236623,-5.045821,-5.779484,-6.426733,-6.977826,-7.424317,-7.759212,-7.977098,-8.074256,-8.048755,-7.900513,-7.631339,-7.244941,-6.746908,-6.144662,-5.447376,-4.665862,-3.812435,-2.900739,-1.94555,-0.962559,0.031878,1.005544,1.941411,2.854536,3.726596,4.531535,5.250537,5.87634,6.39264,6.791865,7.080403,7.201755,7.229911,7.202479,7.0362,6.564964,5.981181,5.382782,4.626307,3.833647,2.9457,1.974399,1.038683,-0.002057,-0.971013,-1.930594,-2.875378,-3.682274,-4.473027,-5.112437,-5.636864,-6.043735,-6.280004,-6.379986,-6.318664,-6.106743,-5.724222,-5.237987,-4.573844,-3.820691,-2.987243,-2.022715,-1.092913,-0.063702,0.928507,1.860743,2.795321,3.566692,4.278988,4.838974,5.229775,5.474707,5.529149,5.404634,5.097265,4.643459,3.987874,3.253451,2.372798,1.405911,0.45463,-0.588903,-1.523653,-2.423613,-3.227782,-3.843583,-4.337852,-4.608176,-4.679973,-4.530302,-4.192858,-3.619467,-2.874278,-1.949921,-0.908802,0.006819,0.855105,1.417786,1.682864,1.610699,1.23505,0.949286,1.378549,2.297202,3.314673,3.968258,4.409116,4.644314,4.665472,4.474275,4.081789,3.50743,2.777657,1.924481,0.983859,-0.005947,-1.00597,-1.978065,-2.886284,-3.698081,-4.385315
第43节龙身x (m),-0.941562,0.057342,1.053333,2.03756,3.001211,3.935595,4.832224,5.682887,6.479733,7.215344,7.88281,8.4758,8.988625,9.416302,9.75461,10.000135,10.150319,10.20349,10.158892,10.016703,9.778047,9.444994,9.020552,8.508652,7.914117,7.242633,6.500696,5.695564,4.835189,3.928152,2.983576,2.011048,1.02052,0.022217,-0.973472,-1.956098,-2.915259,-3.840715,-4.722497,-5.551019,-6.317187,-7.012504,-7.629173,-8.160191,-8.599443,-8.941774,-9.183071,-9.320319,-9.351654,-9.276401,-9.0951,-8.809519,-8.422653,-7.938706,-7.363065,-6.702248,-5.963852,-5.156476,-4.28963,-3.373641,-2.419536,-1.438919,-0.443835,0.553369,1.540196,2.504155,3.432919,4.314486,5.137339,5.890603,6.5642,7.148996,7.636937,8.021176,8.296188,8.457868,8.503613,8.432384,8.244751,7.942912,7.530698,7.013541,6.398435,5.69386,4.909688,4.057069,3.148287,2.196603,1.216074,0.221358,-0.772499,-1.750281,-2.696842,-3.597334,-4.437455,-5.203683,-5.883508,-6.465657,-6.940303,-7.299258,-7.53614,-7.645782,-7.63197,-7.494599,-7.230484,-6.843651,-6.342768,-5.731816,-5.025141,-4.23249,-3.303752,-2.526287,-1.954738,-1.289201,-0.248373,1.183122,2.314636,3.188537,4.061544,4.790622,5.44085,5.989971,6.380172,6.66599,6.793295,6.780001,6.613346,6.323774,5.863682,5.301936,4.622718,3.805401,2.974538,2.000737,1.033296,0.052275,-0.977442,-1.892877,-2.832989,-3.655778,-4.368629,-5.0012,-5.450116,-5.78147,-5.939299,-5.933026,-5.750114,-5.425993,-4.9202,-4.27861,-3.543561,-2.643111,-1.743555,-0.740453,0.27219,1.218371,2.192682,3.010634,3.757474,4.364151,4.780714,5.045722,5.10412,4.970028,4.632733,4.145757,3.442826,2.652931,1.740833,0.732654,-0.221882,-1.241352,-2.129533,-2.913088,-3.49968,-3.749128,-3.674812,-3.277114,-2.60747,-1.683104,-0.73796,0.288318,1.173207,2.190986,3.018637,3.22195,2.727198,1.900512,0.970106,-0.018421,-1.018544,-1.984927,-2.875355,-3.652361,-4.28454,-4.747497,-5.024448,-5.106471,-4.992442,-4.688678,-4.208325
第43节龙身y (m),10.607247,10.623385,10.54559,10.374329,10.110909,9.75747,9.316981,8.79322,8.190751,7.514889,6.771667,5.967781,5.110543,4.207815,3.267949,2.299705,1.312183,0.314735,-0.683121,-1.671788,-2.641683,-3.583333,-4.487462,-5.345094,-6.147637,-6.886979,-7.555573,-8.146522,-8.653656,-9.071603,-9.39586,-9.622846,-9.749954,-9.77559,-9.699206,-9.521319,-9.243523,-8.868483,-8.399925,-7.842611,-7.202303,-6.485713,-5.700445,-4.854927,-3.958324,-3.020452,-2.051677,-1.062807,-0.064974,0.930485,1.912159,2.868685,3.788892,4.661925,5.477382,6.225445,6.897001,7.483769,7.978409,8.374628,8.667274,8.852415,8.927414,8.890978,8.743198,8.485574,8.121014,7.653829,7.089692,6.435597,5.699784,4.891656,4.021671,3.101228,2.142522,1.158398,0.16219,-0.832462,-1.811785,-2.762073,-3.669871,-4.522178,-5.306639,-6.011732,-6.626955,-7.142998,-7.551902,-7.847205,-8.024068,-8.079379,-8.011837,-7.822006,-7.512346,-7.087213,-6.552829,-5.917221,-5.190132,-4.382901,-3.508307,-2.580395,-1.614271,-0.641525,0.319824,1.285464,2.237591,3.148873,3.998324,4.777826,5.467621,6.057897,6.566895,6.870601,7.031719,7.158044,7.230026,7.082068,6.749779,6.342598,5.773666,5.133845,4.377653,3.511694,2.643913,1.642499,0.675808,-0.316441,-1.332306,-2.237615,-3.170386,-3.974036,-4.690388,-5.322496,-5.783425,-6.14257,-6.33503,-6.377004,-6.25719,-6.000867,-5.568437,-5.013122,-4.345411,-3.520342,-2.680629,-1.704809,-0.718121,0.253582,1.279539,2.177811,3.069379,3.844277,4.472674,5.001048,5.332701,5.511617,5.504908,5.326595,4.94807,4.439143,3.755431,2.936755,2.072683,1.061057,0.094103,-0.902902,-1.870682,-2.693841,-3.46772,-4.038879,-4.447377,-4.65995,-4.656835,-4.430468,-4.012969,-3.402578,-2.54134,-1.6183,-0.573293,0.336443,1.064806,1.554419,1.69961,1.510929,1.055034,1.01625,1.665584,2.671752,3.577794,4.143589,4.514682,4.67603,4.622797,4.360024,3.901807,3.270169,2.493675,1.605891,0.643765,-0.354015,-1.3486,-2.302457,-3.180691
第44节龙身x (m),-2.575279,-1.590852,-0.594827,0.404048,1.396935,2.37499,3.329433,4.251637,5.133199,5.966028,6.742413,7.455106,8.09739,8.66315,9.146937,9.544026,9.850472,10.063154,10.179816,10.199104,10.120583,9.944759,9.673085,9.307957,8.852706,8.311574,7.68969,6.993024,6.228344,5.403154,4.525632,3.604557,2.64922,1.669346,0.674992,-0.323551,-1.315861,-2.291494,-3.240093,-4.1515,-5.015867,-5.823769,-6.566306,-7.235215,-7.822965,-8.32285,-8.729079,-9.036853,-9.242433,-9.343196,-9.337687,-9.225649,-9.008047,-8.687074,-8.266144,-7.749875,-7.144049,-6.455564,-5.692372,-4.863395,-3.978435,-3.048074,-2.08355,-1.096631,-0.099483,0.895482,1.875754,2.828884,3.742641,4.605175,5.405176,6.132031,6.775973,7.328228,7.781147,8.128329,8.36473,8.486755,8.492334,8.38098,8.153821,7.813618,7.364756,6.813209,6.166488,5.433561,4.624749,3.751604,2.826757,1.86376,0.87689,-0.119044,-1.108921,-2.077532,-3.009814,-3.891091,-4.707311,-5.445281,-6.092903,-6.639384,-7.075446,-7.389445,-7.581292,-7.654292,-7.601582,-7.421225,-7.117103,-6.691267,-6.153298,-5.510408,-4.717647,-4.027378,-3.506321,-2.886077,-1.888219,-0.460451,0.717011,1.660996,2.641664,3.499211,4.307782,5.044564,5.628269,6.143246,6.497258,6.722144,6.805279,6.743833,6.525109,6.177704,5.6963,5.061563,4.37223,3.520017,2.632778,1.694809,0.668814,-0.28172,-1.30183,-2.241145,-3.10457,-3.933169,-4.5899,-5.171342,-5.590441,-5.849431,-5.9555,-5.892779,-5.655836,-5.25808,-4.73131,-4.019415,-3.253587,-2.345758,-1.375645,-0.419092,0.623686,1.556753,2.47578,3.304,3.967244,4.534753,4.894972,5.085255,5.077198,4.884207,4.474516,3.919185,3.19726,2.321302,1.423916,0.389474,-0.588673,-1.539069,-2.439771,-3.133639,-3.622201,-3.764705,-3.580497,-3.053913,-2.327856,-1.356636,-0.35689,0.582322,1.526972,2.531125,3.166132,3.120434,2.454821,1.587081,0.631221,-0.366609,-1.36006,-2.304672,-3.159704,-3.889663,-4.465486,-4.865368,-5.075243,-5.08892,-4.907915
第44节龙身y (m),10.376012,10.546196,10.623494,10.607006,10.496656,10.293203,9.998244,9.614208,9.144347,8.592715,7.964141,7.264193,6.499139,5.675896,4.801974,3.885412,2.93471,1.958756,0.966747,-0.0319,-1.02763,-2.01084,-2.971976,-3.901622,-4.790599,-5.630052,-6.411548,-7.127162,-7.769563,-8.332098,-8.808867,-9.194793,-9.485688,-9.678301,-9.770374,-9.760673,-9.649018,-9.436298,-9.124479,-8.716594,-8.216733,-7.630007,-6.962513,-6.221279,-5.414202,-4.549972,-3.637991,-2.688276,-1.711355,-0.718162,0.280089,1.272021,2.246228,3.191399,4.09646,4.950698,5.743902,6.466484,7.109608,7.665308,8.126595,8.487561,8.743469,8.890828,8.927461,8.852548,8.666666,8.371801,7.971348,7.47009,6.874162,6.190995,5.429237,4.598667,3.710078,2.775156,1.806334,0.816642,-0.180466,-1.171288,-2.142056,-3.079134,-3.969207,-4.799479,-5.557865,-6.23318,-6.815315,-7.295414,-7.666019,-7.921217,-8.056753,-8.070131,-7.960686,-7.729632,-7.380078,-6.917022,-6.34731,-5.679563,-4.924079,-4.0927,-3.198651,-2.271491,-1.329398,-0.35679,0.629863,1.603264,2.541305,3.435458,4.26356,5.014141,5.716364,6.1856,6.47039,6.742726,7.047253,7.227561,7.162203,6.966393,6.614167,6.16086,5.577094,4.863991,4.112634,3.207503,2.299034,1.332544,0.306493,-0.64198,-1.65876,-2.575634,-3.437422,-4.252657,-4.906523,-5.498919,-5.929866,-6.220215,-6.368288,-6.356777,-6.183298,-5.862424,-5.405908,-4.778042,-4.088652,-3.237859,-2.33082,-1.394299,-0.357628,0.595215,1.592443,2.516445,3.327357,4.090945,4.667644,5.130175,5.420408,5.529608,5.458706,5.219356,4.794547,4.201105,3.50822,2.629945,1.730794,0.74307,-0.281672,-1.21831,-2.180041,-2.981004,-3.671929,-4.214194,-4.539145,-4.681285,-4.603096,-4.316128,-3.805892,-3.149206,-2.222454,-1.239867,-0.267755,0.636061,1.258331,1.639876,1.672533,1.383266,0.960293,1.173332,1.987247,3.032603,3.794875,4.295419,4.594909,4.681812,4.554788,4.222132,3.700838,3.015367,2.196203,1.278275,0.299321,-0.701736,-1.686343
第45节龙身x (m),-4.153932,-3.207399,-2.235205,-1.245787,-0.247795,0.749982,1.738698,2.709521,3.653718,4.562728,5.428251,6.242318,6.997371,7.68634,8.302709,8.840589,9.294774,9.660806,9.935021,10.114594,10.19758,10.18294,10.070566,9.86129,9.556895,9.160101,8.674559,8.104823,7.456315,6.735289,5.948775,5.104517,4.210911,3.276919,2.311995,1.325988,0.329045,-0.668485,-1.656161,-2.623558,-3.560377,-4.456557,-5.302383,-6.088603,-6.806527,-7.448134,-8.00617,-8.474239,-8.846884,-9.119667,-9.28923,-9.353349,-9.310982,-9.162292,-8.908669,-8.552729,-8.098306,-7.550423,-6.915254,-6.200069,-5.413161,-4.563768,-3.661971,-2.71859,-1.745058,-0.753296,0.244432,1.235666,2.207902,3.148751,4.046098,4.888265,5.664168,6.363472,6.976738,7.49557,7.912737,8.222297,8.419696,8.501859,8.467257,8.315954,8.049642,7.671641,7.186885,6.601882,5.924651,5.164634,4.332585,3.440439,2.501157,1.528554,0.537105,-0.458257,-1.442365,-2.400043,-3.316344,-4.17679,-4.967607,-5.675963,-6.290192,-6.792834,-7.180054,-7.458483,-7.618025,-7.651023,-7.556537,-7.334718,-6.990071,-6.527052,-5.908161,-5.338641,-4.893708,-4.349583,-3.44497,-2.094262,-0.932563,0.031193,1.066395,2.005154,2.926706,3.80897,4.551991,5.265096,5.823599,6.271514,6.597241,6.76535,6.798669,6.684426,6.428208,6.013378,5.507186,4.829199,4.078151,3.243617,2.288729,1.366764,0.336356,-0.653942,-1.606385,-2.570521,-3.385836,-4.172383,-4.818881,-5.320641,-5.704127,-5.904359,-5.951324,-5.82575,-5.546891,-5.07922,-4.508929,-3.771725,-2.926891,-2.043698,-1.026179,-0.064167,0.939757,1.908352,2.750979,3.560845,4.182174,4.672189,4.988684,5.105053,5.027743,4.764112,4.310383,3.665364,2.930115,2.006219,1.061279,0.070636,-0.952125,-1.841025,-2.706898,-3.34665,-3.703399,-3.733316,-3.445188,-2.82176,-1.989921,-1.039544,0.006188,0.881573,1.880758,2.821973,3.234789,2.938766,2.166432,1.26296,0.287222,-0.714309,-1.695711,-2.613621,-3.428961,-4.108352,-4.625173,-4.96027,-5.102312
第45节龙身y (m),9.89606,10.215631,10.445562,10.583634,10.628419,10.579301,10.436494,10.201048,9.87485,9.460615,8.961877,8.382962,7.72896,7.005687,6.219641,5.377951,4.488318,3.558949,2.598487,1.615934,0.620573,-0.378121,-1.370567,-2.34717,-3.298414,-4.214954,-5.087716,-5.90798,-6.66748,-7.358489,-7.973902,-8.507322,-8.953124,-9.306535,-9.563685,-9.721665,-9.778566,-9.733519,-9.586711,-9.339406,-8.993939,-8.553712,-8.023173,-7.407779,-6.713954,-5.949034,-5.121198,-4.239393,-3.313242,-2.352951,-1.369199,-0.37303,0.624275,1.611315,2.576703,3.509197,4.397836,5.232067,6.001881,6.69794,7.311695,7.835508,8.262754,8.587923,8.806699,8.91604,8.914232,8.800938,8.577217,8.245544,7.809794,7.275221,6.648413,5.937227,5.150712,4.299005,3.393219,2.445311,1.467934,0.474279,-0.5221,-1.50746,-2.468064,-3.390368,-4.261219,-5.06805,-5.79907,-6.443449,-6.991495,-7.43482,-7.766487,-7.981142,-8.075127,-8.046569,-7.895445,-7.623616,-7.234842,-6.734755,-6.130814,-5.432223,-4.649815,-3.809853,-2.929869,-1.99513,-1.020055,-0.030656,0.950897,1.916093,2.841481,3.714551,4.573921,5.184057,5.577273,5.980723,6.500421,6.996992,7.199706,7.223764,7.105111,6.861069,6.479938,5.95752,5.363284,4.604412,3.805249,2.919816,1.943325,1.00788,-0.031595,-1.005368,-1.958636,-2.904863,-3.708869,-4.494656,-5.134005,-5.651276,-6.054639,-6.286056,-6.38039,-6.313296,-6.097241,-5.708466,-5.216805,-4.551092,-3.789311,-2.957271,-1.988368,-1.054744,-0.030883,0.967171,1.893018,2.826306,3.596842,4.300045,4.858147,5.24124,5.479831,5.527768,5.397152,5.081255,4.623209,3.961862,3.218886,2.34053,1.365952,0.416843,-0.625551,-1.563754,-2.453956,-3.257117,-3.86545,-4.351687,-4.61571,-4.678551,-4.519622,-4.174705,-3.595305,-2.836028,-1.913171,-0.867571,0.044218,0.880988,1.436508,1.686663,1.600384,1.211761,0.952688,1.409821,2.340864,3.349138,3.990238,4.422961,4.649444,4.661729,4.461907,4.061415,3.479993,2.744367,1.886752,0.94324,-0.047835
第46节龙身x (m),-5.640325,-4.753936,-3.82859,-2.872224,-1.893099,-0.899736,0.099161,1.094774,2.078252,3.040791,3.973709,4.868527,5.717052,6.511448,7.244322,7.908786,8.498535,9.007912,9.431965,9.766505,10.008156,10.154394,10.203586,10.155013,10.008894,9.766391,9.42961,9.001599,8.486323,7.888642,7.214271,6.469739,5.662329,4.80002,3.891411,2.945645,1.972321,0.981402,-0.016884,-1.012146,-1.993936,-2.951863,-3.875698,-4.755489,-5.581671,-6.345174,-7.03753,-7.650976,-8.178544,-8.614155,-8.952698,-9.190102,-9.323397,-9.350765,-9.271577,-9.08642,-8.797106,-8.406677,-7.919379,-7.340638,-6.677013,-5.936134,-5.126629,-4.258037,-3.340706,-2.385679,-1.404571,-0.409433,0.587388,1.573402,2.53613,3.463262,4.34282,5.163316,5.91391,6.584562,7.166182,7.650762,8.031505,8.302938,8.461011,8.503173,8.428442,8.237439,7.932415,7.517248,6.997417,6.379955,5.673376,4.887583,4.033746,3.124165,2.172106,1.191626,0.197371,-0.795629,-1.772188,-2.717193,-3.615842,-4.453882,-5.217849,-5.885354,-6.449101,-6.918809,-7.281718,-7.524939,-7.642899,-7.633966,-7.497506,-7.235141,-6.818697,-6.396777,-6.049236,-5.607541,-4.84056,-3.634531,-2.547946,-1.614478,-0.579356,0.390293,1.37462,2.353451,3.213825,4.083937,4.813916,5.45755,6.005033,6.390841,6.671865,6.795286,6.777373,6.605368,6.31147,5.847951,5.278816,4.599647,3.776546,2.942917,1.970334,0.995851,0.019929,-1.011979,-1.927285,-2.861027,-3.685951,-4.391149,-5.020447,-5.465448,-5.789249,-5.942134,-5.929873,-5.740486,-5.409274,-4.90099,-4.250319,-3.514494,-2.6098,-1.703839,-0.706069,0.312573,1.253708,2.225666,3.044164,3.78102,4.385091,4.793803,5.051327,5.102457,4.961583,4.61513,4.12269,3.414819,2.615091,1.705918,0.69156,-0.2617,-1.276699,-2.16712,-2.939134,-3.516534,-3.753179,-3.665451,-3.252245,-2.577156,-1.643472,-0.694852,0.323348,1.214136,2.232555,3.040316,3.21463,2.695791,1.863855,0.930064,-0.059934,-1.059613,-2.023721,-2.910199,-3.681805,-4.307401,-4.762896
